jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Novoletne sarme,sesekljano meso,,3,za 6 oseb,6,coco chanel,10.12.2003,2003
Pijana piščančja stegna,perutnina,,3,4 osebe,4,pegasti,9.12.2003,2003
Žrebičkov golaž,ostalo,,1,,,Riko,8.12.2003,2003
Sesekljana pečenka iz pečice,sesekljano meso,,1,za 2 osebi,2,Tanjci,6.12.2003,2003
Beli zrezki,perutnina,,1,4 osebe,4,pina,27.11.2003,2003
Novembrski puranji zrezki,perutnina,,1,4 osebe,4,dagger,12.11.2003,2003
Srnino stegno v lovski omaki,divjačina,,3,4,4,pinki,12.11.2003,2003
Čisto navaden pečen piščanec,perutnina,,1,,,vale,10.10.2003,2003
Telečji zrezki s papriko,teletina,,3,,,Riko,9.10.2003,2003
Goveji zrezki v čebulni omaki,govedina,,1,,,Riko,8.10.2003,2003
Piščanec s krompirjem,perutnina,60,1,4 osebe,4,Janja,7.10.2003,2003
Goveji zrezki z jurčki,ostalo,,1,4 osebe,4,pinki,4.10.2003,2003
Piščanec s česnom v rimskem loncu,perutnina,,1,,,Riko,3.10.2003,2003
Polhi v obari,divjačina,,3,4,4,pinki,2.10.2003,2003
Piščančji zrezki v sladki omaki,perutnina,,1,za 2 osebi,2,filip,24.9.2003,2003
Kotleti v foliji,svinjina,,1,4 osebe,4,Marinka,15.9.2003,2003
Piščanec na žaru po indijsko,perutnina,,1,4 osebe,4,Marinka,9.9.2003,2003
"Klobase, hrenovke in slanina na žaru",ostalo,,3,po potrebi,,Marinka,8.9.2003,2003
Flambirana rebrca na žaru,svinjina,,3,4 osebe,4,Marinka,8.9.2003,2003
Ruski čevapčiči,sesekljano meso,,1,4 osebe,4,Marinka,7.9.2003,2003
Piščančji žur,perutnina,,1,,,MATIC,12.8.2003,2003
Goveji zrezki,govedina,,1,,,Riko,5.8.2003,2003
Safalade tip top,ostalo,,1,4 osebe,4,Marinka,21.7.2003,2003
Enostaven odojek na žaru,svinjina,,1,,,Marinka,5.7.2003,2003
Piščanec na lovski način,perutnina,,3,,,janca,16.5.2003,2003
Goveji zrezki v ekonomu,govedina,,1,,,Riko,13.5.2003,2003
Telečja krača po italijansko v rimskem loncu,teletina,,3,,,Riko,13.5.2003,2003
Makedonska musaka,sesekljano meso,,3,4,4,pegasti,5.5.2003,2003
Piščanec v jogurtu in curry omaki,perutnina,,1,4,4,Marinka,29.4.2003,2003
Puranja plečka z mlinci,perutnina,,1,,,pinki,26.4.2003,2003
Goveji zrezki v omaki,govedina,,1,4 osebe,4,pinki,25.4.2003,2003
Gurmanski lonec,svinjina,,3,za 6 oseb,6,Riko,24.4.2003,2003
Pečena šunka,svinjina,,3,,,Marinka,19.4.2003,2003
Piščanec z rižem iz pečice,perutnina,,1,2 osebi,2,Vilina,18.4.2003,2003
Šoferska ponev,ostalo,,1,4 osebe,4,pinki,16.4.2003,2003
Lovsko meso,divjačina,,3,,,Riko,13.4.2003,2003
Pečen divji zajec,divjačina,,3,,,Riko,13.4.2003,2003
Sarma v listih vinske trte,mešano meso,,3,za 4 osebe,4,prekmurc,9.4.2003,2003
Piščanec po baskovsko,perutnina,,1,,,elaphus,9.4.2003,2003
Pečenice v testu,ostalo,,3,za 4 osebe,4,prekmurc,6.4.2003,2003
Pikantni Pinki,svinjina,,1,4,4,pinki,2.4.2003,2003
Polži v smetanovi omaki,ostalo,,3,za 4 osebe,4,prekmurc,31.3.2003,2003
Piščančji paprikaš,perutnina,,3,za 4 osebe,4,prekmurc,31.3.2003,2003
Krompirjeva ponev s polži,ostalo,,3,za 4 osebe,4,prekmurc,31.3.2003,2003
Krompirjeva ponev s polži,ostalo,,3,za 4 osebe,4,prekmurc,31.3.2003,2003
Telečja pečenka v rimskem loncu,teletina,,3,,,Riko,26.3.2003,2003
Svinjina z gorčico in šampinjoni,svinjina,,1,za 4 osebe,4,Vilina,11.3.2003,2003
Kvaša za divjačino,divjačina,,3,,,Marinka,6.3.2003,2003
Piščančji paprikaš,perutnina,,1,,,Riko,2.3.2003,2003
Pečeni bikovi prašniki,mešano meso,,1,,,vilca,14.2.2003,2003
Meso s čebulo,govedina,,3,4 osebe,4,Marinka,9.2.2003,2003
Jagnjetina s čebulo,drobnica,,3,4 osebe,4,Marinka,9.2.2003,2003
Goveji polpetki,govedina,,1,,,Riko,4.2.2003,2003
Nadevane telečje prsi,teletina,,3,,,Riko,27.1.2003,2003
Piščanec v koprovi omaki,perutnina,,1,,,Riko,22.1.2003,2003
Puran v curryjevi omaki,perutnina,,1,4,4,Mica maca,18.1.2003,2003
Piščanec z rožmarinom,perutnina,,1,,,Riko,13.1.2003,2003
Divjačinski golaž,divjačina,,3,20 oseb,20,koreno,30.12.2002,2002
Dušena ovčetina s kolerabo,drobnica,,3,4 osebe,4,male,30.12.2002,2002
Mariniran goveji jezik,govedina,,1,,,janca,12.12.2002,2002
Bosanska mesna štruca,mešano meso,,1,,,jasmina,2.12.2002,2002
Polnjena raca,perutnina,,3,4-5,5,vesna ša.,10.11.2002,2002
Polpetke s paradižnikom,sesekljano meso,,1,,,Riko,6.11.2002,2002
Puranje bedro z gobami in žajbljem,perutnina,,1,za 6 oseb,6,Riko,4.11.2002,2002
S sojo nadevana raca,perutnina,,3,4 - 6 oseb,6,Marinka,3.11.2002,2002
Govedina v zelenjavni omaki,govedina,,1,4 - 6 oseb,6,Dorothea,24.10.2002,2002
Mesno-krompirjeva ponev,svinjina,,1,4 osebe,4,elaphus,20.10.2002,2002
Goveji zrezki v omaki,govedina,,1,za 4 osebe,4,kreich,13.10.2002,2002
Svinjski zrezki z jabolki,svinjina,,1,za 4 osebe,4,filip,21.9.2002,2002
Piščanec v omaki z lisičkami,perutnina,,3,,,Blažička,11.9.2002,2002
Pečeno puranje stegno z omako,perutnina,,1,,,Riko,28.8.2002,2002
Piščanec v zelju,perutnina,,1,za 4 osebe,4,kreich,16.8.2002,2002
Piščanec na soli,perutnina,,1,,,Loredana,11.8.2002,2002
Goveji rep v omaki,ostalo,,3,,,Riko,30.7.2002,2002
Musaka,sesekljano meso,120,3,za 4 osebe,4,goga,28.7.2002,2002
Mostarska pleskavica,mešano meso,,1,,,,28.7.2002,2002
Bosanski lonec na hitro,mešano meso,,3,,,Riko,23.7.2002,2002
Nadevana paprika,mešano meso,,1,6-8 oseb,7,Tjanca,16.7.2002,2002
Nadevana svinjina po Laško,svinjina,60,3,6 oseb,6,Tjanca,15.7.2002,2002
Vampi po tržaško,ostalo,,1,,,Riko,17.6.2002,2002
Carnitas,svinjina,150,2,Za 6 oseb,6,sarabande,6.8.2014,2014
"Kosilo ""a la grecque""",svinjina,150,1,Za 6 oseb.,,sarabande,30.7.2014,2014
Divji zajec v višnjevi omaki,divjačina,120,3,za 4 osebe,4,manca45,28.7.2014,2014
Govedina ala Casa Gala,govedina,150,1,,,Vanja_v_ZDA,24.7.2014,2014
Stročji fižol v mesni omaki z nevidno prilogo,mešano meso,45,2,5 oseb,5,anamarija1,14.7.2014,2014
Mesne kroglice v paradižnikovi omaki,govedina,120,4,za 5 oseb,5,sherman,4.7.2014,2014
Polnjen piščančji file,perutnina,30,2,2 osebi,2,Cvicek,25.6.2014,2014
Musaka,sesekljano meso,90,2,,,marjetica20,24.6.2014,2014
Krvni pečenjak,svinjina,90,2,,,ga_drinkwine,26.5.2014,2014
Nenormalno dobre primorske polpete,mešano meso,45,1,4,4,6goth6,19.5.2014,2014
Izmišljeni polpeti,sesekljano meso,75,2,za 3 do 4 osebe,4,Sandra_a,16.5.2014,2014
Svinjska ribica,svinjina,15,1,"Za 1 osebo, 2 kosa",,TJASIKAa,11.5.2014,2014
Govedina v hrenu,govedina,,1,,,MICI,7.5.2002,2002
Bržole po madžarsko,govedina,,3,,,Riko,23.4.2002,2002
Goveja pečenka a la Sonja,govedina,,3,,,Riko,15.4.2002,2002
Srnino ali jelenovo stegno v omaki,divjačina,,1,,,Riko,27.3.2002,2002
Korenčkov golaž,ostalo,,1,3-4 osebe,4,Barbara Cuzak,23.3.2002,2002
Zrezki v sirovi omaki,svinjina,,1,,,anazus,21.3.2002,2002
Svinjska krača v omaki,svinjina,,1,4 osebe,4,,18.3.2002,2002
Zapečeni zrezki,perutnina,,1,4 osebe,4,,14.3.2002,2002
Telečji zrezki malo drugače,govedina,,1,3 lačne osebe,,,14.3.2002,2002
Palačinke z mesom,ostalo,,1,,,,14.3.2002,2002
Svinjska pečenka po koroško,svinjina,,1,,,Riko,5.3.2002,2002
Dušen stročji fižol z mesom,mešano meso,,1,,,,18.2.2002,2002
Nadevana mesna rolada v omaki,svinjina,,3,,,matjaž,11.2.2002,2002
Lazanja z mesno omako,mešano meso,,3,,,Riko,29.1.2002,2002
Tatarski biftek,sesekljano meso,,3,2-3,3,wildstyle,21.1.2002,2002
Goveji file Stroganov,ostalo,,3,4 osebe,4,Marinka,11.1.2002,2002
Stroganoff pljučna pečenka,govedina,,1,za 4 osebe,4,Henri,31.12.2001,2001
Goveji file Stroganov,govedina,,3,4 osebe,4,Marinka,30.12.2001,2001
Praznična rolada,mešano meso,,3,,,Marinka,26.12.2001,2001
Nadevana telečja prsa,ostalo,,3,6 oseb,6,Marinka,14.12.2001,2001
Sarma a la Riko,ostalo,,3,,,Riko,12.12.2001,2001
Mesna rulada z gobami,govedina,,3,,,Riko,12.12.2001,2001
Tatarski biftek,sesekljano meso,,1,,,marta,9.12.2001,2001
Puranji zrezki v vinski omaki,perutnina,,1,2 osebi,2,marta,4.12.2001,2001
Fazan v zelenjavni omaki,divjačina,,1,,,Riko,3.12.2001,2001
Puranji zrezki v majaronovi omaki,ostalo,,1,za 4 osebe,4,Gašper Kukec,29.11.2001,2001
Fazan - pečen,divjačina,,3,,,Riko,28.11.2001,2001
Srna v omaki,divjačina,,3,,,Riko,19.11.2001,2001
Raca pečena v rimskem loncu,perutnina,,3,,,Riko,6.11.2001,2001
Raca pečena na zelju,perutnina,,1,,,Riko,6.11.2001,2001
Aleševa polnjena pleskavica,sesekljano meso,,1,1,1,ales6m,4.11.2001,2001
Paniran piščanec v mikrovalovni pečici,perutnina,,3,4 osebe,4,Marinka,8.10.2001,2001
Štefani (Stephanie) pečenka po moje,sesekljano meso,,3,,,Riko,5.10.2001,2001
Svinjska ribica s suhimi slivami,svinjina,,1,,,spela,25.9.2001,2001
Goveji jezik po moje,govedina,,3,,,Riko,25.9.2001,2001
Musaka a la David,sesekljano meso,,3,,,Riko,3.9.2001,2001
Bograč,mešano meso,,3,6 do 8 ljudi,8,Riko,23.8.2001,2001
Svinjski zrezki v pivski omaki,svinjina,,3,,,,30.7.2001,2001
Sv.rebrca po indijansko,svinjina,,3,,,,24.7.2001,2001
Piščančji  zvitki,perutnina,,3,,,,26.6.2001,2001
Pikantni žepki,sesekljano meso,,1,4,4,,18.6.2001,2001
Medvedje šape,divjačina,,1,4,4,,29.5.2001,2001
Goveji zrezki v pomarančni omaki,govedina,,3,4 osebe,4,anja,22.5.2001,2001
Govedina v vinu,govedina,,3,4-6 oseb,5,cucinanostra,28.4.2001,2001
Marinirana konjetina,ostalo,,3,4-6 oseb,5,cucinanostra,28.4.2001,2001
Pijana svinjina,svinjina,,1,4-6 oseb,5,jernej,28.4.2001,2001
Carpaccio,govedina,,1,4-6 oseb,5,cucinanostra,28.4.2001,2001
Dušen divji prašič,divjačina,,3,4-6 oseb,5,jernej,28.4.2001,2001
Golobi po perugiansko,perutnina,,3,4-6 oseb,5,jernej,28.4.2001,2001
Goveja pizzaiola,govedina,,1,4-6 oseb,5,cucinanostra,28.4.2001,2001
Kita iz jagnječjih črev (corda),notranji deli,,1,4-6 oseb,5,jernej,28.4.2001,2001
Ujeta klobasa (cotechino in galera),svinjina,,1,4-6 oseb,5,jernej,28.4.2001,2001
Telečja obara v mikrovalovni pečici,teletina,,3,,,Marinka,28.4.2001,2001
Mesna carbonata (Carbonata),govedina,,1,4-6 oseb,5,jernej,28.4.2001,2001
Fižol s klobaso,ostalo,,3,4-6 oseb,5,cucinanostra,28.4.2001,2001
Vražji piščanec,perutnina,,1,4-6 oseb,5,cucinanostra,28.4.2001,2001
Kuhana govedina s čebulo (Bollito rifatto),govedina,,1,4-6 oseb,5,cucinanostra,28.4.2001,2001
Kijevski piščanec v mikrovalovni pečici,perutnina,,3,,,Marinka,28.4.2001,2001
Topla hrenovka v mikrovalovni pečici,ostalo,,1,za 1 osebo,1,Marinka,23.4.2001,2001
Gamsji carpaccio,divjačina,,1,4 osebe,4,,23.4.2001,2001
Srnin golaž,divjačina,,3,,,,9.4.2001,2001
Puran v sirovi omaki,perutnina,,3,4 osebe,4,,22.3.2001,2001
Puranovi zrezki v gobovi omaki,perutnina,,3,,,,20.3.2001,2001
Flambirani ragu alla Albagna,ostalo,,3,,,,19.3.2001,2001
Marinirani zajec,divjačina,,1,4 do 5 oseb,5,Marinka,9.2.2001,2001
Nadevane telečje prsi,govedina,,3,,,Marinka,9.2.2001,2001
Djuveć,mešano meso,,3,,,Marinka,9.2.2001,2001
Žolca,ostalo,,3,,,Marinka,9.2.2001,2001
Pečenice,koline,,3,,,Marinka,9.2.2001,2001
Nadevana paprika in nadevano zelje,sesekljano meso,,3,,,Marinka,9.2.2001,2001
Pečena jagnjetina,drobnica,,3,,,Marinka,9.2.2001,2001
Mrežna pečenka,svinjina,,3,,,Marinka,9.2.2001,2001
Kranjska klobasa,ostalo,,3,,,Marinka,8.2.2001,2001
Gorenjski želodec,koline,,1,,,Marinka,8.2.2001,2001
Pohana piška,perutnina,,3,4 do 6 oseb,6,Marinka,8.2.2001,2001
Dunajski zrezek,govedina,,3,4 osebe,4,Marinka,8.2.2001,2001
Goveji jezik s hrenovo  omako,govedina,,1,,,Marinka,7.2.2001,2001
Krvavice,ostalo,,3,,,Marinka,7.2.2001,2001
Bob z mesom,ostalo,,1,za 2 osebi,2,,30.1.2001,2001
Jetrca po berlinsko,notranji deli,,1,,,,19.1.2001,2001
Goveje rolade,govedina,,1,,,,19.1.2001,2001
Renska goveja pečenka,govedina,,3,,,,19.1.2001,2001
Pica,ostalo,,1,,,abokalj,25.12.2000,2000
telecji zrezki,teletina,,1,,,irenavinkovic,12.12.2000,2000
Piščančje prsi z gorčico,perutnina,,1,,,Marinka,6.12.2000,2000
Rdeče kuhano meso,svinjina,,1,,,,5.12.2000,2000
Piščančja pečenka,perutnina,,1,,,Marinka,4.12.2000,2000
Nadevana svinjska ribica,svinjina,,1,,,Marinka,4.12.2000,2000
Idrijska bakalca,drobnica,,1,,,Marinka,30.11.2000,2000
Nadevani piščanec,perutnina,,3,,,Marinka,30.11.2000,2000
Puranove rezine,perutnina,,3,,,Marinka,21.11.2000,2000
Hortobagi palačinke,svinjina,,3,,,vkalisni,16.11.2000,2000
Musaka,sesekljano meso,,3,,,Marinka,2.10.2000,2000
Telečja krača,teletina,,3,,,,26.9.2000,2000
Sesekljan polpet s skuto,sesekljano meso,,3,,,,11.7.2000,2000
Srnin golaž,divjačina,,3,,,Marinka,2.6.2000,2000
Nadevan kunec,ostalo,,5,,,,15.5.2000,2000
Kvašena srna s smetano,divjačina,,5,,,,15.5.2000,2000
Piščanec v omaki,perutnina,,1,,,,3.5.2000,2000
Mesni sir,mešano meso,,3,,,,13.3.2000,2000
Piščanec v kokosu,perutnina,,3,,,,1.2.2000,2000
Svinjski file v mrežici,svinjina,,1,,,Marinka,24.1.2000,2000
Česnova govedina,govedina,,1,,,Marinka,17.1.2000,2000
Pečena telečja krača,teletina,,3,,,Marinka,28.12.1999,1999
Nadevane telečje prsi,teletina,,3,,,Marinka,28.12.1999,1999
Nadevani kotleti,svinjina,,1,,,Marinka,24.12.1999,1999
Pečena puranova ali piščančja prsa,perutnina,,3,,,Marinka,24.12.1999,1999
Ocvrti zajec,ostalo,,1,,,Marinka,24.12.1999,1999
Chilli con carne,sesekljano meso,,1,,,gregorm,20.12.1999,1999
Poprov zrezek,govedina,,1,,,Marinka,22.11.1999,1999
Piščanec po kitajsko,perutnina,,3,,,,6.11.1999,1999
Martinova gos ali raca,perutnina,,3,,,Marinka,2.11.1999,1999
Bosanski lonec,mešano meso,,1,,,Marinka,30.10.1999,1999
Krompirjev narastek z mesom,sesekljano meso,,3,,,,16.5.1999,1999
Goveji golaž,govedina,,1,,,,26.4.1999,1999
Djuveč z rižem,svinjina,,1,,,Marinka,13.4.1999,1999
Svinjski zrezki v omaki,svinjina,,1,,,,17.3.1999,1999
Goveji zrezki z zelenjavo,govedina,,1,,,,17.3.1999,1999
Zdrobovi zrezki,sesekljano meso,,3,,,,25.1.1999,1999
Polpeti - sesekljani zrezki,sesekljano meso,,1,,,Marinka,25.1.1999,1999
Pečeni svinjski kotleti s krompirjem in zelenjavo,svinjina,120,2,za 4 osebe,4,katz,9.5.2014,2014
Polnjene paprike v smetanovi omaki,sesekljano meso,75,2,za 3 osebe,3,111darch,8.5.2014,2014
Kokodak,perutnina,45,4,5 oseb,5,wasd,7.5.2014,2014
Bržolni zrezki v omaki,govedina,120,1,Za 10 oseb.,,sarabande,6.5.2014,2014
Šunka v testu,ostalo,120,1,,,Blanki,29.4.2014,2014
Sočni goveji zrezki,govedina,60,1,3 osebe,3,mopsika,28.4.2014,2014
Svinjski zrezki - vratovina v omaki,svinjina,45,1,za 4 osebe,4,ZvonkaK,25.4.2014,2014
Nabildane piščančje perutničke,perutnina,180,3,4 - 6 oseb,6,STEAK,24.4.2014,2014
Zarolani zrezki,mešano meso,45,3,4,4,senka,15.4.2014,2014
Mediteranski piščančji zrezki,perutnina,30,1,,,tiiasa,12.4.2014,2014
Zrezki z olivami,perutnina,30,1,,,pikapolonica80,9.4.2014,2014
Mišmaš moje hčere,perutnina,75,2,4,4,Mirfas,9.4.2014,2014
Nadevane telečje prsi,teletina,,5,,,,29.12.1998,1998
Svinjske zarebrnice z jabolki in smetano,svinjina,,3,,,,29.12.1998,1998
Zagrebški zrezki,svinjina,,1,,,,18.12.1998,1998
Tatarski biftek,govedina,,1,,,Marinka,14.12.1998,1998
Jajčnik z mesnimi ostanki,ostalo,,1,,,,3.12.1998,1998
Dušena piščančja bedra,perutnina,,1,,,,22.11.1998,1998
Podvarak svinina z zeljem,svinjina,,1,,,,22.11.1998,1998
Martinova gos ali raca,perutnina,,1,,,Marinka,13.11.1998,1998
Srnin hrbet v lovski omaki,divjačina,,3,,,Marinka,24.9.1998,1998
Čebularji,sesekljano meso,,1,,,,5.8.1998,1998
Meso mlade košute,divjačina,,1,,,Marinka,26.6.1998,1998
Pečen zajec,ostalo,,1,,,Marinka,26.6.1998,1998
Šunka v testu,svinjina,,3,,,Marinka,26.6.1998,1998
Havajski ražnjiči,govedina,,1,,,Marinka,17.5.1998,1998
Svinjina s pivom,svinjina,30,1,,,borutdez,22.4.1998,1998
Pečen jagenjček,drobnica,,1,,,Marinka,22.4.1998,1998
Hladna goveja pečenka,govedina,,1,,,Marinka,20.12.1997,1997
Popečeni koščki mesa,ostalo,,1,,,Marinka,20.12.1997,1997
Dunajski zrezki,teletina,30,3,4 osebe,4,marcell,3.4.2014,2014
Zelenjavno mesni narastek,perutnina,90,3,za 4 osebe,4,katz,30.3.2014,2014
Pleskavica ala Geisha,sesekljano meso,30,1,2-3,3,Geisha,26.3.2014,2014
Ohrovtovi zvitki v lahki bešamelni omaki,sesekljano meso,60,2,12 zvitkov,,anamarija1,24.3.2014,2014
Gyros,mešano meso,90,3,4,4,badass,24.3.2014,2014
Mesna lazanja,ostalo,150,4,4 osebe,4,marcell,21.3.2014,2014
Svinjski zrezki,svinjina,60,2,Za 3 osebe,3,zes5ana,20.3.2014,2014
Piščanec na rukoli,perutnina,30,2,4,4,tinchyka89,14.3.2014,2014
Hobotnica s krompirjem,ostalo,75,3,4 osebe,4,marcell,13.3.2014,2014
Piščančja bedra pečena na vodi,perutnina,75,1,za 4 osebe,4,danica85,3.3.2014,2014
Glazirana jagnjetina s pečeno zelenjavo,ostalo,120,3,,,Samo_23,3.3.2014,2014
Mesna solata (Esihflajš),govedina,300,1,Za 2 osebi,2,Pesjaner1,3.3.2014,2014
"Srčkov ""karpačo""",notranji deli,15,2,Za 2 osebi,2,Pesjaner1,27.2.2014,2014
Špageti po slovensko,koline,45,2,,,matjazm,25.2.2014,2014
Divjačinski lonec,divjačina,90,2,,,lovskimojster,14.2.2014,2014
Preprosta jagnječja pečenka,drobnica,120,2,4-6 OSEB,5,sirarka,11.2.2014,2014
Ajdova kaša s praženimi jetri,teletina,30,1,za štir osebe,,mamamia,10.2.2014,2014
Zapečene piščančje noge,perutnina,60,1,Za 6 oseb.,,sarabande,8.2.2014,2014
Svinjska rebra z vzhodnjaškim pridihom,svinjina,75,2,za 4 osebe,4,mamamia,7.2.2014,2014
Telečja pečenka s krompirjevimi cmoki,teletina,150,3,,,NanaSem,28.1.2014,2014
Kvinoja z zelenjavo in piščancem,perutnina,30,1,2-3 osebe,3,maskaflaska,25.1.2014,2014
Polpeti iz krvavic s kozicami na bučnem pireju,koline,45,2,za 2 osebi,2,anya_raikkonen,14.1.2014,2014
Puranja ruladica s sirom in šunko,perutnina,45,2,,,hojski,24.12.2013,2013
Srna v divjačinski omaki,divjačina,180,2,za 6 oseb,6,mamamia,5.12.2013,2013
Piščančji file z gobicami in sirom,perutnina,30,2,Za 2 osebi,2,shari2007,29.11.2013,2013
Anjina rižota,perutnina,30,1,za 4 osebe,4,puki75,24.11.2013,2013
Pečen domač zajec,ostalo,180,2,Za 2 osebi,2,jancus,20.11.2013,2013
Piščanec z veliko zelenjave,perutnina,45,3,Za 3 osebe,3,Darie_,16.11.2013,2013
Timballo,mešano meso,90,2,Za 6-8 oseb,7,Victor,11.11.2013,2013
Ocvrti mesni oblati,sesekljano meso,60,2,,,tjasa7,8.11.2013,2013
Piščanec iz ponve po moje,perutnina,30,2,za 4 osebe,4,two girls,6.11.2013,2013
Drugačna pica,ostalo,30,2,,,summerlolika,31.10.2013,2013
Oblečen piščanec,perutnina,90,2,,,pikapolonica80,29.10.2013,2013
"Bučke, korenček, puranček",perutnina,75,1,2-3 osebe,3,anamarija1,25.10.2013,2013
Divjačinski ragu,divjačina,90,3,,,LittleMissBossy,17.10.2013,2013
Rižota,govedina,45,2,,,summerlolika,14.10.2013,2013
Naravni goveji zrezki,govedina,75,3,za 4 osebe,4,Tontek,24.9.2013,2013
Zrezki v naravni omaki iz šampinjonov in koruze,svinjina,45,2,4 osebe,4,JamieOliver,27.8.2013,2013
Goveja rebrca v slastni vinski omaki,govedina,180,2,za 5 oseb(toliko je bilo nas),,Vrtejbenka,27.8.2013,2013
Zeliščna polenta z mesno-zelenjavnim nadevom,sesekljano meso,60,2,za šest do osem  oseb,,mamamia,24.8.2013,2013
Pečeni Azijski Riževi Rezanci s Piščancem + VIDEO priprave,perutnina,15,3,3,3,ROKCO,23.8.2013,2013
Piščančji file v pečici,perutnina,45,1,1 oseba,1,suziqatro,4.8.2013,2013
"Piščanec ""priporočko""",notranji deli,60,3,4 osebe,4,marcell,2.8.2013,2013
Puranja rolada s kruhovim nadevom,perutnina,30,4,,,marcell,2.8.2013,2013
Polnjeni ocvrti mesni polpeti ,mešano meso,30,2,Za približno 10 polpet,,Sanja00,24.7.2013,2013
Turški čevap kot ražnjič,mešano meso,60,2,za šest oseb,,mamamia,11.7.2013,2013
Svinjina v slastni omaki,svinjina,120,2,6 oseb,6,anamarija1,11.7.2013,2013
Rižota pečena v pečici,perutnina,60,2,,,mehurček,3.7.2013,2013
Mongolska govedina po moje,govedina,45,3,,,master shef,2.7.2013,2013
Mleto meso za testenine,svinjina,30,2,4 ljudje,4,master shef,2.7.2013,2013
Pečeno svinjsko pleče..,svinjina,240,3,"za res,res veliko družbo",,Vrtejbenka,27.6.2013,2013
Nedeljski zrezki,teletina,45,2,4 osebe ,4,Teja Tejći,19.6.2013,2013
Zajec s šparglji,ostalo,60,3,Za 4 osebe,4,KarelVeliki,17.6.2013,2013
Ajdova kaša z mletim mesom,sesekljano meso,45,2,2-3,3,chefjure,13.6.2013,2013
Moj piščančji file,perutnina,75,3,Za 4 osebe,4,Sandra_a,12.6.2013,2013
Pizza bolognese,mešano meso,60,2,za 4 osebe,4,elarey,10.6.2013,2013
Ravioli,mešano meso,45,2,4 osebe,4,master shef,10.6.2013,2013
Piščančje roladice,perutnina,45,3,,,dobroje,2.6.2013,2013
Enostavno dobre tortilje ,perutnina,75,2,za 8 tortilj,,Sandra_a,23.5.2013,2013
Piščanec z arašidi na kitajski način,perutnina,45,2,,,micimaci,22.5.2013,2013
Steak z istrskimi fuži na kremni omaki iz tartufov in šampinjonov,govedina,60,3,za 4 osebe,4,Hofer Slovenija,1.6.2017,2017
Paradižnikov burger z avokadovo kremo,govedina,30,2,za 4 osebe,4,Hofer Slovenija,1.6.2017,2017
Tatarski biftek v krompirjevem gnezdecu z avokadovo kremo,govedina,60,3,za 4 osebe,4,Hofer Slovenija,1.6.2017,2017
Telečja pečenka z domačimi cmoki,govedina,150,3,za 4 osebe,4,Hofer Slovenija,31.5.2017,2017
Raca ali gos z mlinci in pomarančno omako,perutnina,120,3,za 2 - 6 oseb,6,Hofer Slovenija,31.5.2017,2017
"Piščančji file z jurčki, perutninskim kapučinom in pirejem",perutnina,150,3,za 4 osebe,4,Hofer Slovenija,28.5.2017,2017
Goveja rebrca v kavni omaki,govedina,150,2,Za 2 osebi,2,Kave sveta,24.4.2017,2017
Šunka v testu Kodila,svinjina,60,2,,,Kodila Gourmet,7.4.2017,2017
Velikonočna šunka Kodila ,svinjina,60,2,,,Kodila Gourmet,7.4.2017,2017
Piščančji kebab,perutnina,30,2,za 4 osebe,4,Duky,15.2.2017,2017
Chilli con carne za gurmane,sesekljano meso,75,2,6 oseb,6,NeJc_6,7.2.2017,2017
Kuskus s piščancem in zelenjavo,perutnina,60,2,za šest oseb,,mamamia,4.2.2017,2017
"Pečen račji file s krompirjem, fižolom in koruzo",perutnina,45,2,Za 2 osebi,2,sarabande,3.5.2013,2013
Pečen kunec z olivami in paradižnikom ,ostalo,75,2,,,DobroJem,2.5.2013,2013
Puran z jurčki in kostanji,ostalo,45,2,za 4 osebe,4,limnol,25.4.2013,2013
Piščančji zvitki,perutnina,75,3,za 4 osebe,4,linchy003,24.4.2013,2013
Marinirani svinjski steaki v omaki iz gorgonzole s kremno polento ,svinjina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Zelenjavni vok s piščančjimi rezinami ,perutnina,30,2,za 4 osebe,4,Hofer,18.4.2013,2013
Puranji zrezki s primorskim pršutom in paradižnikovo rižoto,perutnina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Gratinirani svinjski zrezki z mozzarello in paradižniki ter pečenim krompirjem,svinjina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Polpete s kumarično solato,sesekljano meso,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Puranji zrezki v gobovi omaki z rižem,perutnina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Svinjski cordon bleu s hrustljavo zeleno solato in zeliščnim toastom,svinjina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Piščančji zrezki grana padano na špagetih genovese s paradižnikovo omako,perutnina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Piščančji fileji z gobovo omako in skutnimi štruklji,perutnina,30,2,Za 4 osebe,4,Hofer,18.4.2013,2013
Ocvrte mesne kroglice,mešano meso,45,1,,,rok.ml,15.4.2013,2013
Meso v gobovi omaki s prilogo,mešano meso,60,2,za 4 osebe ,4,SENDY27,15.4.2013,2013
Okusne testenine s piščancem in sirovo omako,perutnina,30,2,,,mladenko,14.4.2013,2013
Pečen piščanec s kremastim belim fižolom,perutnina,45,2,2 osebi,2,coconut tree,8.4.2013,2013
